Auction Title ,Auction ID,Department ,Close Date ,Winning Bid ,CC Fee,Fee Percent,Auction Fee Subtotal,Auction Fee Total,Pay Status ,Paid Date ,ASSET #,Inventory ID,Decal /Vehicle ID,VTR Number,Receipt Number ,Cap,Expenses,Net Sales,Fund,Business Unit
2 Chairs,91803,JUVENILE COURT,12/14/2015,$31.00,$0.71,0.23,$7.13,$7.13,Successful,12/14/2015,,"99873, 99874",,,3659534668,$3000,$0.00,$23.87,General Fund,0
Exercise Bike,91799,PARKS,12/14/2015,$230.00,$5.29,0.23,$52.90,$52.90,Successful,12/14/2015,,101081,,,3659506764,$3000,$0.00,$177.10,General Fund,0
Dell Laptop w/Bag,91808,ITS,12/14/2015,$79.00,$0.00,0.23,$18.17,$18.17,Successful,12/15/2015,,99835,,,Money Order,$3000,$0.00,$60.83,General Fund,0
Dell Laptop w/Bag,91806,ITS,12/14/2015,$98.00,$0.00,0.23,$22.54,$22.54,Successful,12/15/2015,,99829,,,Money Order,$3000,$0.00,$75.45,General Fund,0
3 Chairs,91805,JUVENILE COURT,12/14/2015,$40.00,$0.92,0.23,$9.20,$9.20,Successful,12/17/2015,,"99882, 99883, 99884",,,3659704223,$3000,$0.00,$30.79,General Fund,0
Serving Line,91860,SCHOOL BOARD FOOD SERVICE,12/14/2015,$230.00,$0.00,0.23,$52.90,$52.90,Successful,12/15/2015,it380605,FSBS-0062,,,Money Order,$3000,$0.00,$177.10,Enterprise,0
Steamer,91861,SCHOOL BOARD FOOD SERVICE,12/14/2015,$16.62,$0.38,0.23,$3.82,$3.82,Successful,12/21/2015,it016922,FSBS-0068,,,3659857549,$3000,$0.00,$12.79,Enterprise,0
Dish Washer,91862,SCHOOL BOARD FOOD SERVICE,12/14/2015,$11.62,$0.27,0.23,$2.67,$2.67,Successful,12/21/2015,it387631,FSBS-0060,,,3659857551,$3000,$0.00,$8.94,Enterprise,0
Piano,91865,SCHOOL BOARD WAREHOUSE,12/14/2015,$35.00,$0.80,0.23,$8.05,$8.05,Successful,12/14/2015,,SBS-7643B,,,3659517234,$3000,$0.00,$26.95,Enterprise,0
2 Chairs,91804,JUVENILE COURT,12/14/2015,$37.00,$0.85,0.23,$8.51,$8.51,Successful,12/17/2015,,"99881, 100233",,,3659734578,$3000,$0.00,$28.49,General Fund,0
Table,91774,PUBLIC LIBRARY,12/10/2015,$11.13,$0.00,0.23,$2.55,$2.55,Successful,12/10/2015,,98667,,,Money Order,$3000,$0.00,$8.57,General Fund,0
True Cooler,91766,PARKS,12/10/2015,$293.00,$6.74,0.23,$67.39,$67.39,Successful,12/16/2015,,96548,,,3659637479,$3000,$0.00,$225.61,General Fund,0
Frigidaire Refrigerator,91767,PARKS,12/10/2015,$3.00,,0.23,$0.69,$0.69,Successful,12/17/2015,,95378,,,3659711142,$3000,$0.00,$2.31,General Fund,0
Work Station,91768,PARKS,12/10/2015,$25.00,$0.57,0.23,$5.75,$5.75,Successful,12/14/2015,,96592,,,3659549715,$3000,$0.00,$19.25,General Fund,0
Security Equipment,91769,DISTRICT ATTORNEY,12/10/2015,$145.00,$0.00,0.23,$33.35,$33.35,Successful,12/15/2015,,"DA-96517, DA-96518, DA-96519, DA-96523",,,Money Order,$3000,$0.00,$111.65,Enterprise,0
Desk,91770,WATER SERVICES,12/10/2015,$16.00,$0.37,0.23,$3.68,$3.68,Successful,12/10/2015,,WS-96318,,,3659328913,$3000,$0.00,$12.32,Enterprise,0
Desk,91771,WATER SERVICES,12/10/2015,$21.00,$0.48,0.23,$4.83,$4.83,Successful,12/10/2015,,WS-96315,,,3659329391,$3000,$0.00,$16.17,Enterprise,0
Work Table,91772,WATER SERVICES,12/10/2015,$67.00,$1.54,0.23,$15.41,$15.41,Successful,12/21/2015,,WS-96319,,,3659890772,$3000,$0.00,$51.59,Enterprise,0
Equipment Rack,91773,STATE TRIAL COURT,12/10/2015,$27.13,$0.62,0.23,$6.23,$6.23,Successful,12/13/2015,,95258,,,3659485165,$3000,$0.00,$20.89,General Fund,0
Table,91775,PUBLIC LIBRARY,12/10/2015,$8.00,$0.00,0.23,$1.84,$1.84,Successful,12/10/2015,,98669,,,Money Order,$3000,$0.00,$6.16,General Fund,0
Table,91777,PUBLIC LIBRARY,12/10/2015,$10.00,$0.00,0.23,$2.30,$2.30,Successful,12/10/2015,,98666,,,Money Order,$3000,$0.00,$7.69,General Fund,0
Table,91780,PUBLIC LIBRARY,12/10/2015,$9.19,$0.21,0.23,$2.11,$2.11,Successful,12/22/2015,,98664,,,3659961444,$3000,$0.00,$7.08,General Fund,0
Table,91781,PUBLIC LIBRARY,12/10/2015,$12.50,$0.28,0.23,$2.87,$2.87,Successful,12/11/2015,,98804,,,3659376741,$3000,$0.00,$9.62,General Fund,0
Table,91782,PUBLIC LIBRARY,12/10/2015,$13.00,$0.30,0.23,$2.99,$2.99,Successful,12/22/2015,,98805,,,3659962122,$3000,$0.00,$10.01,General Fund,0
Piano Bench,91783,PUBLIC LIBRARY,12/10/2015,$11.00,$0.25,0.23,$2.53,$2.53,Successful,12/16/2015,,98688,,,3659642278,$3000,$0.00,$8.46,General Fund,0
Book Bin,91784,PUBLIC LIBRARY,12/10/2015,$1.00,$0.02,0.23,$0.23,$0.23,Successful,12/17/2015,,98684,,,3659711154,$3000,$0.00,$0.77,General Fund,0
Coat Rack,91785,POLICE DEPARTMENT,12/10/2015,$11.00,$0.25,0.23,$2.53,$2.53,Successful,12/14/2015,,95454,,,3659549716,$3000,$0.00,$8.46,General Fund,0
Door,91786,POLICE DEPARTMENT,12/10/2015,$15.00,$0.34,0.23,$3.45,$3.45,Successful,12/16/2015,,99931,,,3659637486,$3000,$0.00,$11.55,General Fund,0
Dell Computer,91788,ECD COMMUNICATIONS,12/10/2015,$41.01,$0.94,0.23,$9.43,$9.43,Successful,12/10/2015,,ECD-96296,,,3659329812,$3000,$0.00,$31.57,Enterprise,0
Porter-Cable 6-Gallon Air Compressor,91789,DRUG TASK FORCE,12/10/2015,$34.33,$0.79,0.23,$7.89,$7.89,Successful,12/11/2015,,TF-331-043,,,3659385800,$3000,$0.00,$26.43,Enterprise,0
1999 Bluebird School Bus,91815,SCHOOL BOARD,12/10/2015,$1125.00,$0.00,0.23,$258.75,$258.75,Successful,12/16/2015,18907,,98-31,,Cashiers Check,$3000,$0.00,$866.25,Enterprise,0
